f1,accuracy,precision,recall,mean_iou
0.9694135785102844,0.9531612396240234,0.977192223072052,0.9617578387260437,0.9316554665565491
0.9595103859901428,0.9413623809814453,0.9427129626274109,0.9769172668457031,0.9114580750465393
0.9444960355758667,0.9181251525878906,0.9843757748603821,0.9077216982841492,0.8727262020111084
0.9405638575553894,0.9159450531005859,0.9379087090492249,0.9432340860366821,0.8819704651832581
0.9678651690483093,0.9513301849365234,0.9698866605758667,0.9658521413803101,0.9279086589813232
0.928249716758728,0.8901824951171875,0.9866847991943359,0.876349151134491,0.8650069832801819
0.9467869997024536,0.9156608581542969,0.9701247215270996,0.9245457053184509,0.8928439617156982
0.9743064045906067,0.9622917175292969,0.98128741979599,0.9674239754676819,0.943693220615387
0.9511218070983887,0.9284477233886719,0.9679996967315674,0.9348224401473999,0.9032953977584839
0.9695790410041809,0.9518775939941406,0.9867158532142639,0.9530272483825684,0.9426987171173096
0.9514786005020142,0.9251785278320312,0.9839798212051392,0.921055793762207,0.9061824083328247
0.9475610256195068,0.9210624694824219,0.9506446123123169,0.9444973468780518,0.895665168762207
0.9842758774757385,0.9764652252197266,0.9890844225883484,0.9795138835906982,0.9641150832176208
0.9753663539886475,0.9613704681396484,0.9828268885612488,0.9680182337760925,0.9452539682388306
0.9716048240661621,0.9572086334228516,0.9575404524803162,0.9860885143280029,0.9319016933441162
0.936485230922699,0.908416748046875,0.9841034412384033,0.8932626247406006,0.8746709823608398
0.9406973719596863,0.9100875854492188,0.907705545425415,0.976177990436554,0.8830944299697876
0.976925253868103,0.9666690826416016,0.9759059548377991,0.9779466986656189,0.9490041136741638
0.969573974609375,0.9571437835693359,0.9708768129348755,0.9682745933532715,0.9379642009735107
0.9385900497436523,0.9184150695800781,0.9706096053123474,0.9086155891418457,0.8640162944793701
0.9736983180046082,0.9601001739501953,0.9647693634033203,0.9827941656112671,0.9427440166473389
0.9604112505912781,0.9425563812255859,0.9886177182197571,0.9337697625160217,0.9266965389251709
0.937204897403717,0.9041881561279297,0.9512014985084534,0.9236142635345459,0.8665763139724731
0.973044753074646,0.9614639282226562,0.9763246178627014,0.9697868227958679,0.9413478374481201
0.9606530070304871,0.9379787445068359,0.9770066738128662,0.9448378682136536,0.9090461730957031
0.974035382270813,0.9609603881835938,0.9689711332321167,0.9791528582572937,0.9398657083511353
0.9795496463775635,0.9692535400390625,0.9777262806892395,0.9813798069953918,0.9530366659164429
0.9463080167770386,0.92010498046875,0.9603959918022156,0.9326274394989014,0.88956618309021
0.9823450446128845,0.9714679718017578,0.9866196513175964,0.9781072735786438,0.9620567560195923
0.9665136933326721,0.9543666839599609,0.9608398675918579,0.9722549319267273,0.9305985569953918
0.9776811003684998,0.9640979766845703,0.9858319759368896,0.9696637988090515,0.9511429667472839
0.922992467880249,0.889251708984375,0.9522284865379333,0.8954982161521912,0.8542886972427368
0.9735811948776245,0.9582443237304688,0.9808059930801392,0.9664620757102966,0.9423856735229492
0.9795183539390564,0.9698810577392578,0.9840430021286011,0.9750351309776306,0.9532577991485596
0.9627243280410767,0.9435920715332031,0.9494717121124268,0.9763521552085876,0.9210314750671387
0.9685333967208862,0.9528179168701172,0.9816814064979553,0.9557328820228577,0.9350868463516235
0.9691991806030273,0.9552879333496094,0.9706249833106995,0.9677775502204895,0.9314605593681335
0.960432231426239,0.9412250518798828,0.9817684292793274,0.9400036931037903,0.9116823673248291
0.981252133846283,0.9734764099121094,0.9874317646026611,0.975149393081665,0.95609450340271
0.936837375164032,0.9015274047851562,0.9647051692008972,0.9105344414710999,0.8786635398864746
0.9417629241943359,0.9186687469482422,0.9830577373504639,0.9037976264953613,0.8867302536964417
0.9731844663619995,0.9601821899414062,0.9887581467628479,0.9580938220024109,0.9461742639541626
0.9787147641181946,0.9697093963623047,0.9782597422599792,0.9791701436042786,0.9507386684417725
0.9760655760765076,0.9622669219970703,0.9812189340591431,0.9709661602973938,0.9510079026222229
0.9650459289550781,0.9479751586914062,0.961713433265686,0.9684016108512878,0.9155114889144897
0.9835687279701233,0.9754619598388672,0.9853495359420776,0.9817944169044495,0.9605469703674316
0.9775357246398926,0.9652194976806641,0.9877609610557556,0.967519998550415,0.9472691416740417
0.9305835962295532,0.8963088989257812,0.9762002229690552,0.8890398740768433,0.8691813945770264
0.9783821105957031,0.9650764465332031,0.9829359650611877,0.9738702774047852,0.9529470205307007
0.950145959854126,0.9311904907226562,0.9183797240257263,0.984188437461853,0.8914198279380798
0.9209874272346497,0.8825912475585938,0.9760022163391113,0.8718438148498535,0.8419328927993774
0.9721396565437317,0.9592800140380859,0.9732815027236938,0.9710004925727844,0.9388198852539062
