epoch,step,test_loss,train_loss,val_loss
0,49,,0.6332579255104065,
0,99,,0.6671407222747803,
0,149,,0.651142954826355,
0,199,,0.6977676749229431,
0,249,,0.6738415360450745,
0,299,,0.654100775718689,
0,349,,0.6199491024017334,
0,399,,0.6172593235969543,
0,449,,0.6572497487068176,
0,499,,0.6504278182983398,
0,549,,0.6884247064590454,
0,599,,0.5835298895835876,
0,649,,0.6462685465812683,
0,699,,0.5995685458183289,
0,749,,0.6531651020050049,
0,799,,0.6159103512763977,
0,849,,0.6166442036628723,
0,899,,0.6506469249725342,
0,949,,0.6405718326568604,
0,999,,0.6515225172042847,
0,1049,,0.6326429843902588,
0,1099,,0.6036037802696228,
0,1149,,0.5982421636581421,
0,1199,,0.6470953226089478,
0,1249,,0.5866464376449585,
0,1299,,0.6468718647956848,
0,1349,,0.6540149450302124,
0,1399,,0.6220024824142456,
0,1449,,0.6615784168243408,
0,1499,,0.66407310962677,
0,1549,,0.6355515718460083,
0,1599,,0.6424652338027954,
0,1649,,0.6754196286201477,
0,1699,,0.6681993007659912,
0,1716,,,0.6319088339805603
1,1749,,0.6226045489311218,
1,1799,,0.4717538356781006,
1,1849,,0.6158455014228821,
1,1899,,0.656781792640686,
1,1949,,0.6629836559295654,
1,1999,,0.6095207929611206,
1,2049,,0.6293697357177734,
1,2099,,0.5990389585494995,
1,2149,,0.6291345953941345,
1,2199,,0.6404043436050415,
1,2249,,0.6666584014892578,
1,2299,,0.6029403209686279,
1,2349,,0.5990253686904907,
1,2399,,0.6221238970756531,
1,2449,,0.6383129358291626,
1,2499,,0.5983445644378662,
1,2549,,0.644984245300293,
1,2599,,0.6024292707443237,
1,2649,,0.5940425395965576,
1,2699,,0.6436396837234497,
1,2749,,0.6342791318893433,
1,2799,,0.6261547803878784,
1,2849,,0.6055921316146851,
1,2899,,0.6649183630943298,
1,2949,,0.6256083250045776,
1,2999,,0.5927149057388306,
1,3049,,0.6270509958267212,
1,3099,,0.652344822883606,
1,3149,,0.6284468770027161,
1,3199,,0.6427726745605469,
1,3249,,0.5976619720458984,
1,3299,,0.6147973537445068,
1,3349,,0.6354296207427979,
1,3399,,0.6786800622940063,
1,3433,,,0.631999671459198
2,3449,,0.5585178136825562,
2,3499,,0.6762033700942993,
