IoU,Accuracy,Precision,Recall,F1
0.3498624302446842,0.59149169921875,0.3498624302446842,0.59149169921875,0.4396660446503476
0.6632344760000706,0.81439208984375,0.6632344760000706,0.81439208984375,0.7310817542829856
0.4786335863173008,0.69183349609375,0.4786335863173008,0.69183349609375,0.5658164203775501
0.4934410788118839,0.70245361328125,0.4934410788118839,0.70245361328125,0.5796822597249423
0.3505125641822815,0.592041015625,0.3505125641822815,0.592041015625,0.44033107280804323
0.5804014354944229,0.7618408203125,0.5804014354944229,0.7618408203125,0.6588579726419057
0.7024698853492737,0.838134765625,0.7024698853492737,0.838134765625,0.7643290345040842
0.6882193088531494,0.82958984375,0.6882193088531494,0.82958984375,0.752320867110355
0.2626062035560608,0.512451171875,0.2626062035560608,0.512451171875,0.34725908305589187
0.6107330918312073,0.781494140625,0.6107330918312073,0.781494140625,0.6856414263781349
0.6485046297311783,0.8052978515625,0.6485046297311783,0.8052978515625,0.7184461324981828
0.5920844115316868,0.76947021484375,0.5920844115316868,0.76947021484375,0.6692222412842025
0.5499366670846939,0.7415771484375,0.5499366670846939,0.7415771484375,0.6315386804174407
0.5105653740465641,0.71453857421875,0.5105653740465641,0.71453857421875,0.5955717552510702
0.6198294498026371,0.78729248046875,0.6198294498026371,0.78729248046875,0.6935959912281123
0.5563826896250248,0.74591064453125,0.5563826896250248,0.74591064453125,0.6373552866153754
0.6087313927710056,0.78021240234375,0.6087313927710056,0.78021240234375,0.6838862508424011
0.6806451417505741,0.82501220703125,0.6806451417505741,0.82501220703125,0.745907494895917
0.6697120666503906,0.818359375,0.6697120666503906,0.818359375,0.7366113386143931
0.554835855960846,0.744873046875,0.554835855960846,0.744873046875,0.6359612889367916
0.6763215214014053,0.8223876953125,0.6763215214014053,0.8223876953125,0.7422367075249934
0.5856210142374039,0.7652587890625,0.5856210142374039,0.7652587890625,0.6634959337020694
0.619445089250803,0.78704833984375,0.619445089250803,0.78704833984375,0.6932605855586021
0.6391018778085709,0.7994384765625,0.6391018778085709,0.7994384765625,0.7103347918062292
0.6427177228033543,0.80169677734375,0.6427177228033543,0.80169677734375,0.7134582587763919
0.5848739296197891,0.7647705078125,0.5848739296197891,0.7647705078125,0.6628328465719462
0.6572831012308598,0.81072998046875,0.6572831012308598,0.81072998046875,0.7259868763654165
0.590019766241312,0.76812744140625,0.590019766241312,0.76812744140625,0.6673950671474788
0.6148420609533787,0.78411865234375,0.6148420609533787,0.78411865234375,0.6892389809900554
0.3056502491235733,0.5528564453125,0.3056502491235733,0.5528564453125,0.3936619512334427
0.7555115260183811,0.86920166015625,0.7555115260183811,0.86920166015625,0.8083788305165817
0.4363705553114414,0.66058349609375,0.4363705553114414,0.66058349609375,0.5255629197061533
0.6151292473077774,0.7843017578125,0.6151292473077774,0.7843017578125,0.6894901544701802
0.432749405503273,0.6578369140625,0.432749405503273,0.6578369140625,0.5220651100630016
0.35471679270267487,0.5955810546875,0.35471679270267487,0.5955810546875,0.44462397151255645
0.627058282494545,0.7918701171875,0.627058282494545,0.7918701171875,0.6998925608277556
0.7483136989176273,0.86505126953125,0.7483136989176273,0.86505126953125,0.8024591185696506
0.4799857772886753,0.69281005859375,0.4799857772886753,0.69281005859375,0.5670875770757279
0.5294907242059708,0.7276611328125,0.5294907242059708,0.7276611328125,0.6129566894220748
0.5777076222002506,0.76007080078125,0.5777076222002506,0.76007080078125,0.6564595264506645
0.49980688467621803,0.70697021484375,0.49980688467621803,0.70697021484375,0.5856070367601214
0.5736324228346348,0.75738525390625,0.5736324228346348,0.75738525390625,0.6528248960318589
0.5863685756921768,0.7657470703125,0.5863685756921768,0.7657470703125,0.6641591942026012
0.6706114448606968,0.81890869140625,0.6706114448606968,0.81890869140625,0.7373778002481566
0.6167579032480717,0.78533935546875,0.6167579032480717,0.78533935546875,0.6909139165714955
0.6581740975379944,0.811279296875,0.6581740975379944,0.811279296875,0.7267505333645032
0.6007574535906315,0.77508544921875,0.6007574535906315,0.77508544921875,0.6768772217191422
0.6469327360391617,0.8043212890625,0.6469327360391617,0.8043212890625,0.7170926153349317
0.6913622058928013,0.83148193359375,0.6913622058928013,0.83148193359375,0.7549757310859236
0.48856550455093384,0.698974609375,0.48856550455093384,0.698974609375,0.575129848150776
0.46272212639451027,0.68023681640625,0.46272212639451027,0.68023681640625,0.5507820348612487
0.5173915065824986,0.71929931640625,0.5173915065824986,0.71929931640625,0.6018632144447907
0.6055925041437149,0.7781982421875,0.6055925041437149,0.7781982421875,0.6811304721556
0.28835536539554596,0.5369873046875,0.28835536539554596,0.5369873046875,0.37522153177989237
0.30362898111343384,0.551025390625,0.30362898111343384,0.551025390625,0.3915203231986856
0.4283440448343754,0.65447998046875,0.4283440448343754,0.65447998046875,0.5177990062025607
0.6993018127977848,0.83624267578125,0.6993018127977848,0.83624267578125,0.7616660063738677
0.6116874366998672,0.7821044921875,0.6116874366998672,0.7821044921875,0.6864776329125711
0.43010348454117775,0.65582275390625,0.43010348454117775,0.65582275390625,0.5195042567527485
0.4287436008453369,0.65478515625,0.4287436008453369,0.65478515625,0.5181864234471821
0.5056057125329971,0.7110595703125,0.5056057125329971,0.7110595703125,0.5909855171677695
0.508300069719553,0.71295166015625,0.508300069719553,0.71295166015625,0.593478592003218
0.559939444065094,0.748291015625,0.559939444065094,0.748291015625,0.6405563365146278
0.6565905213356018,0.810302734375,0.6565905213356018,0.810302734375,0.7253930614674646
0.4818481542170048,0.69415283203125,0.4818481542170048,0.69415283203125,0.5688367012783375
0.4862644709646702,0.69732666015625,0.4862644709646702,0.69732666015625,0.5729768846262113
0.3474118150770664,0.58941650390625,0.3474118150770664,0.58941650390625,0.43715642089187484
0.5002384781837463,0.707275390625,0.5002384781837463,0.707275390625,0.5860079527071714
0.500843022018671,0.70770263671875,0.500843022018671,0.70770263671875,0.5865693607887277
0.6696121729910374,0.81829833984375,0.6696121729910374,0.81829833984375,0.7365261885995875
0.5649746395647526,0.75164794921875,0.5649746395647526,0.75164794921875,0.6450778420592289
0.665323793888092,0.815673828125,0.665323793888092,0.815673828125,0.7328670861276388
0.6220418363809586,0.7886962890625,0.6220418363809586,0.7886962890625,0.6955253836938254
0.6787330061197281,0.8238525390625,0.6787330061197281,0.8238525390625,0.7442849589897347
0.5614933706820011,0.74932861328125,0.5614933706820011,0.74932861328125,0.6419529943305472
0.5856210142374039,0.7652587890625,0.5856210142374039,0.7652587890625,0.6634959337020694
0.5499366670846939,0.7415771484375,0.5499366670846939,0.7415771484375,0.6315386804174407
0.49078644812107086,0.7005615234375,0.49078644812107086,0.7005615234375,0.5772051658901461
0.5537452697753906,0.744140625,0.5537452697753906,0.744140625,0.6349777785554311
0.5767801739275455,0.75946044921875,0.5767801739275455,0.75946044921875,0.6556330086119893
0.6063527017831802,0.7786865234375,0.6063527017831802,0.7786865234375,0.6817982750679861
0.7070814408361912,0.84088134765625,0.7070814408361912,0.84088134765625,0.7681988214356392
0.6673166751861572,0.81689453125,0.6673166751861572,0.81689453125,0.7345684228869928
0.36681417003273964,0.60565185546875,0.36681417003273964,0.60565185546875,0.456903741347657
0.5992445684969425,0.77410888671875,0.5992445684969425,0.77410888671875,0.6755442949223454
0.6795377880334854,0.8243408203125,0.6795377880334854,0.8243408203125,0.7449680240308214
0.6715114265680313,0.8194580078125,0.6715114265680313,0.8194580078125,0.7381444624549228
0.6243546158075333,0.7901611328125,0.6243546158075333,0.7901611328125,0.697540131291553
0.7583790421485901,0.870849609375,0.7583790421485901,0.870849609375,0.8107322345401605
0.6302522458136082,0.79388427734375,0.6302522458136082,0.79388427734375,0.7026676734653572
0.4709792733192444,0.686279296875,0.4709792733192444,0.686279296875,0.5586017383858767
0.38932907953858376,0.62396240234375,0.38932907953858376,0.62396240234375,0.47948041035518146
0.35646380484104156,0.5970458984375,0.35646380484104156,0.5970458984375,0.44640395769438396
0.5378732681274414,0.7333984375,0.5378732681274414,0.7333984375,0.6205996919014085
0.4739159382879734,0.68841552734375,0.4739159382879734,0.68841552734375,0.5613735844203562
0.6135027445852757,0.78326416015625,0.6135027445852757,0.78326416015625,0.6880671504456416
0.5310907959938049,0.728759765625,0.5310907959938049,0.728759765625,0.6144182743653792
0.5228497423231602,0.72308349609375,0.5228497423231602,0.72308349609375,0.6068768501450643
0.6003790535032749,0.77484130859375,0.6003790535032749,0.77484130859375,0.6765439260358097
0.5641491562128067,0.7510986328125,0.5641491562128067,0.7510986328125,0.6443373841331911
0.5282478928565979,0.726806640625,0.5282478928565979,0.726806640625,0.6118205483219639
0.29137855768203735,0.539794921875,0.29137855768203735,0.539794921875,0.37846411043780726
0.7264066338539124,0.852294921875,0.7264066338539124,0.852294921875,0.7843315071215566
0.6811487823724747,0.8253173828125,0.6811487823724747,0.8253173828125,0.7463346251849545
0.4783802628517151,0.691650390625,0.4783802628517151,0.691650390625,0.5655781661540266
0.5919904857873917,0.7694091796875,0.5919904857873917,0.7694091796875,0.6691391596509572
0.28973356261849403,0.53826904296875,0.28973356261849403,0.53826904296875,0.3767007649836453
0.7096499353647232,0.8424072265625,0.7096499353647232,0.8424072265625,0.7703507944752949
0.8302742280066013,0.91119384765625,0.8302742280066013,0.91119384765625,0.8688540192035357
0.5494841374456882,0.74127197265625,0.5494841374456882,0.74127197265625,0.6311295950022893
0.7610389925539494,0.87237548828125,0.7610389925539494,0.87237548828125,0.8129127916030842
0.764343798160553,0.874267578125,0.764343798160553,0.874267578125,0.8156186524073532
0.4799857772886753,0.69281005859375,0.4799857772886753,0.69281005859375,0.5670875770757279
0.4886508323252201,0.69903564453125,0.4886508323252201,0.69903564453125,0.5752096301193668
0.675217691808939,0.82171630859375,0.675217691808939,0.82171630859375,0.7412983993431606
0.26010996103286743,0.510009765625,0.26010996103286743,0.510009765625,0.34451427660165723
0.7238079644739628,0.85076904296875,0.7238079644739628,0.85076904296875,0.7821699495393863
0.7277597822248936,0.85308837890625,0.7277597822248936,0.85308837890625,0.78545609643771
0.7086219787597656,0.841796875,0.7086219787597656,0.841796875,0.7694898263520679
0.41999639570713043,0.6480712890625,0.41999639570713043,0.6480712890625,0.5096823159222001
0.6680148877203465,0.81732177734375,0.6680148877203465,0.81732177734375,0.7351641256362825
0.3746928311884403,0.61212158203125,0.3746928311884403,0.61212158203125,0.46484438315915694
0.4638853706419468,0.68109130859375,0.4638853706419468,0.68109130859375,0.5518859900953168
0.6772253252565861,0.82293701171875,0.6772253252565861,0.82293701171875,0.7430046358190582
0.5050850510597229,0.710693359375,0.5050850510597229,0.710693359375,0.5905033164380263
0.4815092720091343,0.69390869140625,0.4815092720091343,0.69390869140625,0.5685185682699281
0.6374439634382725,0.79840087890625,0.6374439634382725,0.79840087890625,0.7089008584403635
0.6973636299371719,0.8350830078125,0.6973636299371719,0.8350830078125,0.7600349705907421
0.7264066338539124,0.852294921875,0.7264066338539124,0.852294921875,0.7843315071215566
0.6990976668894291,0.83612060546875,0.6990976668894291,0.83612060546875,0.7614942774534725
0.6009466983377934,0.77520751953125,0.6009466983377934,0.77520751953125,0.6770438855469422
0.5907701291143894,0.76861572265625,0.5907701291143894,0.76861572265625,0.6680593433005595
0.7655181922018528,0.87493896484375,0.7655181922018528,0.87493896484375,0.8165793197067063
0.751802459359169,0.8670654296875,0.751802459359169,0.8670654296875,0.8053305978516264
0.612069383263588,0.7823486328125,0.612069383263588,0.7823486328125,0.6868121892603675
0.6451666355133057,0.80322265625,0.6451666355133057,0.80322265625,0.7155706848260223
0.527006521821022,0.7259521484375,0.527006521821022,0.7259521484375,0.610684974433526
0.5419094897806644,0.73614501953125,0.5419094897806644,0.73614501953125,0.6242675395019445
0.5848739296197891,0.7647705078125,0.5848739296197891,0.7647705078125,0.6628328465719462
0.5423588901758194,0.7364501953125,0.5423588901758194,0.7364501953125,0.6246754345617311
0.5254126191139221,0.724853515625,0.5254126191139221,0.724853515625,0.609225785673213
0.6170455366373062,0.7855224609375,0.6170455366373062,0.7855224609375,0.6911652473005828
0.6244510747492313,0.79022216796875,0.6244510747492313,0.79022216796875,0.6976241116014732
0.6770244278013706,0.82281494140625,0.6770244278013706,0.82281494140625,0.7428339678618889
0.66015625,0.8125,0.66015625,0.8125,0.728448275862069
0.475009024143219,0.689208984375,0.475009024143219,0.689208984375,0.5624040939125958
0.5726158767938614,0.7567138671875,0.5726158767938614,0.7567138671875,0.6519170679862849
0.3411090411245823,0.58404541015625,0.3411090411245823,0.58404541015625,0.4306808869714604
0.6016092896461487,0.775634765625,0.6016092896461487,0.775634765625,0.6776272928339406
0.6610491909086704,0.81304931640625,0.6610491909086704,0.81304931640625,0.7292125866923181
0.556200597435236,0.74578857421875,0.556200597435236,0.74578857421875,0.637191244860952
