IoU,Accuracy,Precision,Recall,F1
0.6116874366998672,0.7821044921875,0.6116874366998672,0.7821044921875,0.6864776329125711
0.42914334312081337,0.65509033203125,0.42914334312081337,0.65509033203125,0.5185739229038173
0.4613944925367832,0.67926025390625,0.4613944925367832,0.67926025390625,0.5495211257022249
0.7053375244140625,0.83984375,0.7053375244140625,0.83984375,0.7667363322717622
0.43766171112656593,0.66156005859375,0.43766171112656593,0.66156005859375,0.5268081750797236
0.6510630249977112,0.806884765625,0.6510630249977112,0.806884765625,0.7206469802433793
0.6688132919371128,0.81781005859375,0.6688132919371128,0.81781005859375,0.7358450777354636
0.6319007873535156,0.794921875,0.6319007873535156,0.794921875,0.7040983745919478
0.6935969926416874,0.83282470703125,0.6935969926416874,0.83282470703125,0.7568612426282197
0.426269356161356,0.65289306640625,0.426269356161356,0.65289306640625,0.5157857635499175
0.4929267205297947,0.70208740234375,0.4929267205297947,0.70208740234375,0.5792025954143619
0.6699118763208389,0.8184814453125,0.6699118763208389,0.8184814453125,0.7367816460791183
0.5346551537513733,0.731201171875,0.5346551537513733,0.731201171875,0.6176695839135876
0.5260321833193302,0.72528076171875,0.5260321833193302,0.72528076171875,0.6097931362722543
0.6938003338873386,0.83294677734375,0.6938003338873386,0.83294677734375,0.7570327108927546
0.5868360437452793,0.76605224609375,0.5868360437452793,0.76605224609375,0.664573819991198
0.4542088657617569,0.6739501953125,0.4542088657617569,0.6739501953125,0.5426790677926511
0.45659780874848366,0.67572021484375,0.45659780874848366,0.67572021484375,0.5449570933188969
0.6329686380922794,0.79559326171875,0.6329686380922794,0.79559326171875,0.7050245192905202
0.5547449328005314,0.74481201171875,0.5547449328005314,0.74481201171875,0.6358793143039777
0.5489413477480412,0.74090576171875,0.5489413477480412,0.74090576171875,0.6306387856469451
0.5519300103187561,0.742919921875,0.5519300103187561,0.742919921875,0.6333394935608979
0.5304682590067387,0.72833251953125,0.5304682590067387,0.72833251953125,0.6138497690833356
0.5318917371332645,0.72930908203125,0.5318917371332645,0.72930908203125,0.6151494173713625
0.6317067295312881,0.7947998046875,0.6317067295312881,0.7947998046875,0.7039300181351169
0.6531330980360508,0.80816650390625,0.6531330980360508,0.80816650390625,0.7224258348167194
0.5856210142374039,0.7652587890625,0.5856210142374039,0.7652587890625,0.6634959337020694
0.44154662266373634,0.66448974609375,0.44154662266373634,0.66448974609375,0.5305489249182397
0.5722464472055435,0.7564697265625,0.5722464472055435,0.7564697265625,0.6515870311359806
0.5200290121138096,0.72113037109375,0.5200290121138096,0.72113037109375,0.604287764422331
0.6420328617095947,0.80126953125,0.6420328617095947,0.80126953125,0.7128670646686094
0.46763426065444946,0.683837890625,0.46763426065444946,0.683837890625,0.5554385766682979
0.44528577104210854,0.66729736328125,0.44528577104210854,0.66729736328125,0.534140796775188
0.5498461462557316,0.74151611328125,0.5498461462557316,0.74151611328125,0.6314568576913684
0.4856687933206558,0.6968994140625,0.4856687933206558,0.6968994140625,0.572419071272975
0.5362630039453506,0.7322998046875,0.5362630039453506,0.7322998046875,0.6191341735353834
0.7383155971765518,0.8592529296875,0.7383155971765518,0.8592529296875,0.7942067325940926
0.5280704647302628,0.7266845703125,0.5280704647302628,0.7266845703125,0.6116582887338724
0.5568380504846573,0.7462158203125,0.5568380504846573,0.7462158203125,0.6377654399958493
0.5714156664907932,0.75592041015625,0.5714156664907932,0.75592041015625,0.650844609112945
0.729635450989008,0.85418701171875,0.729635450989008,0.85418701171875,0.78701387333381
0.5625,0.75,0.5625,0.75,0.6428571428571428
0.6552064567804337,0.8094482421875,0.6552064567804337,0.8094482421875,0.7242058009775771
0.3787386752665043,0.61541748046875,0.3787386752665043,0.61541748046875,0.4689050104330983
0.49541527032852173,0.703857421875,0.49541527032852173,0.703857421875,0.5815219794427926
0.44667162001132965,0.6683349609375,0.44667162001132965,0.6683349609375,0.5354699511425788
0.5717848278582096,0.75616455078125,0.5717848278582096,0.75616455078125,0.6511745469453242
0.5512047410011292,0.742431640625,0.5512047410011292,0.742431640625,0.6326844946449839
0.5196769572794437,0.72088623046875,0.5196769572794437,0.72088623046875,0.6039643389300519
0.4354034401476383,0.65985107421875,0.4354034401476383,0.65985107421875,0.5246295247934477
0.6921744383871555,0.83197021484375,0.6921744383871555,0.83197021484375,0.755661235951035
