epoch,step,train_loss,val_loss
0,49,0.5582947731018066,
0,99,0.4396248459815979,
0,149,0.4662494361400604,
0,199,0.5569576025009155,
0,249,0.4230731129646301,
0,299,0.4431299567222595,
0,349,0.41606664657592773,
0,399,0.4015945494174957,
0,449,0.4244166910648346,
0,499,0.42211049795150757,
0,549,0.3266189694404602,
0,599,0.3370571732521057,
0,649,0.4742986857891083,
0,699,0.2963412404060364,
0,749,0.29827970266342163,
0,799,0.4518888592720032,
0,849,0.34465962648391724,
0,858,,0.3964649438858032
1,899,0.3554844260215759,
1,949,0.33907341957092285,
1,999,0.2703210115432739,
1,1049,0.3608829379081726,
1,1099,0.23904435336589813,
1,1149,0.3412016034126282,
1,1199,0.49978238344192505,
1,1249,0.4181833267211914,
1,1299,0.3757854104042053,
1,1349,0.4406803846359253,
1,1399,0.5568191409111023,
1,1449,0.30073246359825134,
1,1499,0.4151715934276581,
1,1549,0.3484370708465576,
1,1599,0.3240790069103241,
1,1649,0.3415466845035553,
1,1699,0.2915841341018677,
1,1717,,0.3603971600532532
2,1749,0.2981208562850952,
2,1799,0.29695215821266174,
2,1849,0.2629377841949463,
2,1899,0.47138452529907227,
2,1949,0.33054569363594055,
2,1999,0.2954903542995453,
2,2049,0.34287029504776,
2,2099,0.3505092263221741,
2,2149,0.3557738661766052,
2,2199,0.24672627449035645,
2,2249,0.22454722225666046,
2,2299,0.15709364414215088,
2,2349,0.2343693971633911,
2,2399,0.24307754635810852,
2,2449,0.24804580211639404,
2,2499,0.2390691339969635,
2,2549,0.2195776402950287,
2,2576,,0.23805148899555206
3,2599,0.17478036880493164,
3,2649,0.18603846430778503,
3,2699,0.17409585416316986,
3,2749,0.27639681100845337,
3,2799,0.17848646640777588,
3,2849,0.30340760946273804,
3,2899,0.19414857029914856,
3,2949,0.1495022475719452,
3,2999,0.20399296283721924,
3,3049,0.18152675032615662,
3,3099,0.139534592628479,
3,3149,0.2170991450548172,
3,3199,0.11588067561388016,
3,3249,0.3339099884033203,
3,3299,0.1936781406402588,
3,3349,0.17963843047618866,
3,3399,0.1936008632183075,
3,3435,,0.16805297136306763
4,3449,0.16041363775730133,
4,3499,0.15336014330387115,
4,3549,0.13320833444595337,
4,3599,0.12550897896289825,
4,3649,0.11242097616195679,
4,3699,0.1332869529724121,
4,3749,0.11825942248106003,
4,3799,0.13819065690040588,
4,3849,0.19291281700134277,
4,3899,0.17209023237228394,
4,3949,0.16587921977043152,
4,3999,0.162460058927536,
4,4049,0.1773964762687683,
4,4099,0.13464760780334473,
4,4149,0.2202945202589035,
4,4199,0.16336312890052795,
4,4249,0.11504658311605453,
4,4294,,0.14870235323905945
5,4299,0.15945369005203247,
5,4349,0.1250695139169693,
5,4399,0.12174146622419357,
5,4449,0.24801743030548096,
5,4499,0.172783762216568,
5,4549,0.10324916243553162,
5,4599,0.1484028398990631,
5,4649,0.11821403354406357,
5,4699,0.07293470203876495,
5,4749,0.14839953184127808,
5,4799,0.16010700166225433,
5,4849,0.09123706817626953,
5,4899,0.22090710699558258,
5,4949,0.16849443316459656,
5,4999,0.10211636126041412,
5,5049,0.12564891576766968,
5,5099,0.11167619377374649,
5,5149,0.22794684767723083,
5,5153,,0.1386181116104126
6,5199,0.1162254586815834,
6,5249,0.17831940948963165,
6,5299,0.1776381880044937,
6,5349,0.16203339397907257,
6,5399,0.1714562475681305,
6,5449,0.12495241314172745,
6,5499,0.13187120854854584,
6,5549,0.158198744058609,
6,5599,0.16292355954647064,
6,5649,0.09410826116800308,
6,5699,0.1081428974866867,
6,5749,0.16084396839141846,
6,5799,0.13303983211517334,
6,5849,0.0975688248872757,
6,5899,0.15355393290519714,
6,5949,0.10634498298168182,
6,5999,0.12223196774721146,
6,6012,,0.1314229667186737
7,6049,0.10729198902845383,
7,6099,0.09318126738071442,
7,6149,0.16330376267433167,
7,6199,0.15035119652748108,
7,6249,0.19284182786941528,
7,6299,0.15483374893665314,
7,6349,0.12814857065677643,
7,6399,0.16140645742416382,
7,6449,0.1408451646566391,
7,6499,0.12259415537118912,
7,6549,0.1186232641339302,
7,6599,0.09921246021986008,
7,6649,0.12600544095039368,
7,6699,0.13069190084934235,
7,6749,0.1097797155380249,
7,6799,0.09058304876089096,
7,6849,0.2157747745513916,
7,6871,,0.14394347369670868
8,6899,0.10153737664222717,
8,6949,0.1503855586051941,
8,6999,0.06696543842554092,
8,7049,0.21886932849884033,
8,7099,0.2576379179954529,
8,7149,0.1947873830795288,
8,7199,0.15646708011627197,
8,7249,0.16614146530628204,
8,7299,0.20561113953590393,
8,7349,0.1774005889892578,
8,7399,0.14049698412418365,
8,7449,0.12314338982105255,
8,7499,0.13889935612678528,
8,7549,0.09912730753421783,
8,7599,0.1616154909133911,
8,7649,0.12950727343559265,
8,7699,0.11542771756649017,
8,7730,,0.1352049857378006
9,7749,0.12836754322052002,
9,7799,0.1258111596107483,
9,7849,0.13628683984279633,
9,7899,0.6346476078033447,
9,7949,0.5739752054214478,
9,7999,0.504921555519104,
9,8049,0.5626718401908875,
9,8099,0.46376752853393555,
9,8149,0.32184886932373047,
9,8199,0.350543349981308,
9,8249,0.6473813056945801,
9,8299,0.6449174880981445,
9,8349,0.6235649585723877,
9,8399,0.6711862087249756,
9,8449,0.6555107831954956,
9,8499,0.6171298027038574,
9,8549,0.6717888712882996,
9,8589,,0.6303796172142029
